case_id,diagnosis_root_cause,true_label
10059,local,local
10081,remote,remote
10082,remote,remote
10083,fiber,remote
1009,remote,local
101,local,local
10108,local,remote
10118,local,remote
10177,local,local
10180,fiber,local
1019,fiber,fiber
10235,local,local
10239,fiber,local
10240,local,local
10251,local,local
10252,local,local
10276,fiber,remote
10295,fiber,local
1030,remote,local
10347,fiber,remote
1040,local,remote
10409,fiber,remote
10414,local,local
1056,remote,local
1058,fiber,remote
108,fiber,local
1109,fiber,local
1140,local,local
1146,local,local
1153,fiber,local
116,local,remote
1175,local,local
1177,local,local
1193,fiber,local
1197,fiber,local
120,fiber,remote
123,fiber,local
1252,remote,remote
1261,remote,local
127,local,remote
128,local,local
1320,local,local
1324,remote,local
1339,local,fiber
138,fiber,local
1386,local,remote
1391,fiber,local
141,remote,local
142,local,remote
145,fiber,local
1464,fiber,local
147,local,local
1554,local,local
1555,local,local
156,remote,remote
1572,local,local
1594,local,local
1605,fiber,remote
1620,fiber,local
1647,fiber,remote
1653,fiber,local
1664,local,local
1674,fiber,local
1684,local,local
1782,fiber,local
1788,fiber,remote
1796,fiber,remote
1798,local,remote
1807,remote,fiber
1811,fiber,local
1816,fiber,local
1819,remote,local
1823,fiber,local
1839,remote,remote
1841,remote,local
1845,local,local
1849,fiber,local
1852,local,local
1889,local,local
1909,local,local
1930,fiber,remote
1944,local,local
1956,local,local
1965,local,fiber
1973,fiber,local
2038,local,fiber
2053,local,local
2063,remote,remote
2068,local,remote
2085,local,local
2086,fiber,local
2089,local,remote
2125,local,local
2128,local,local
2172,fiber,remote
2179,local,local
2192,fiber,remote
2195,remote,remote
2200,local,local
2263,local,local
2280,fiber,local
229,fiber,local
2295,local,remote
2317,remote,local
2322,local,remote
2333,local,fiber
2338,remote,remote
2340,fiber,remote
2349,local,local
2355,fiber,local
2357,remote,local
2360,local,local
2371,fiber,remote
2375,fiber,remote
2395,fiber,remote
2404,fiber,remote
2408,local,local
2415,fiber,local
242,remote,local
2421,remote,remote
2426,fiber,local
2446,local,fiber
2453,local,remote
2474,remote,local
2479,local,remote
2499,remote,local
2522,remote,remote
2536,local,remote
2541,remote,local
2543,fiber,local
2545,fiber,local
2546,fiber,local
2555,remote,remote
2558,local,local
2577,local,local
2594,fiber,local
2607,remote,local
2611,fiber,remote
2615,local,local
2616,fiber,remote
2620,fiber,local
263,fiber,local
2631,remote,local
2640,fiber,local
2644,local,remote
2646,remote,local
2648,remote,remote
2655,remote,remote
2666,local,remote
2668,local,remote
2676,remote,local
2701,local,local
2704,local,remote
2705,remote,remote
2706,fiber,remote
2712,fiber,local
2713,local,local
2718,fiber,remote
2721,local,local
2722,local,local
2728,fiber,remote
273,local,local
2739,local,remote
2746,local,fiber
2753,local,remote
2758,remote,fiber
2759,fiber,remote
2764,local,local
2778,local,remote
2783,remote,remote
2788,fiber,remote
2810,local,local
2821,fiber,local
2822,fiber,fiber
2825,local,local
2835,local,local
2836,fiber,remote
2841,local,local
2848,local,local
2867,remote,local
2869,local,remote
2875,fiber,remote
2882,local,local
2890,local,local
2892,local,local
2893,fiber,local
2894,remote,fiber
2897,remote,local
2901,local,local
2909,fiber,local
2912,remote,local
2914,local,local
2915,local,local
2931,local,local
2932,local,local
2944,local,remote
2953,remote,local
2957,fiber,remote
2960,fiber,local
2962,remote,local
2964,local,local
2975,remote,local
2978,fiber,local
2980,remote,fiber
2981,local,fiber
2986,remote,remote
2989,local,local
2992,local,local
2993,local,remote
2994,fiber,remote
3002,local,local
3003,remote,remote
3004,fiber,local
3016,local,local
302,fiber,remote
3029,fiber,local
3033,remote,local
3039,fiber,local
305,remote,local
306,remote,remote
3061,local,local
3067,fiber,remote
3068,fiber,remote
3075,fiber,local
3081,remote,local
3082,local,local
3084,fiber,remote
3088,fiber,local
3090,local,local
3091,remote,remote
3093,local,local
3103,local,remote
3106,local,local
3108,fiber,remote
328,fiber,local
332,fiber,local
3368,local,local
3371,local,remote
3373,local,local
3375,fiber,local
3377,fiber,local
338,local,remote
3389,fiber,local
3409,fiber,fiber
3410,local,local
3412,local,local
3423,remote,local
3427,remote,local
3437,fiber,local
3438,local,fiber
3457,local,remote
3491,local,remote
3494,local,local
3502,fiber,local
3527,fiber,remote
3530,remote,local
3535,local,local
3547,remote,fiber
358,local,remote
3588,local,local
3595,fiber,local
3597,fiber,remote
3607,fiber,remote
3630,local,local
3676,local,local
3677,local,local
370,local,remote
3706,fiber,local
3709,remote,local
3713,local,remote
3724,fiber,local
373,remote,local
3755,remote,local
3824,local,remote
432,local,remote
438,local,remote
439,remote,local
4611,fiber,local
466,remote,local
473,fiber,local
4852,local,local
4863,local,local
4883,fiber,local
4886,remote,local
504,fiber,local
5160,local,remote
5392,remote,remote
5445,fiber,local
5451,local,local
5470,local,remote
5488,remote,local
555,local,local
556,fiber,local
562,fiber,remote
5792,local,local
5834,local,local
5838,remote,remote
5970,local,local
6001,fiber,remote
6018,local,local
6053,local,local
6071,local,local
6165,remote,local
6215,local,local
6286,remote,remote
6362,fiber,remote
6464,remote,local
686,fiber,local
6885,local,remote
690,local,local
6982,fiber,remote
6983,local,remote
6990,remote,remote
7041,local,local
715,remote,remote
7284,local,remote
7291,local,remote
746,remote,local
747,local,local
7644,local,local
7694,local,remote
7727,remote,remote
7805,fiber,local
7826,remote,local
7845,remote,local
7854,fiber,remote
7926,fiber,remote
793,local,remote
7932,local,local
7976,fiber,remote
7987,local,local
7995,fiber,local
8016,remote,remote
8022,local,local
805,remote,local
8067,fiber,local
8081,fiber,remote
809,local,local
8129,remote,local
8141,remote,local
8155,fiber,remote
8162,local,local
8165,local,local
8168,fiber,remote
8170,fiber,remote
8173,remote,local
8179,remote,local
8180,local,local
8186,fiber,remote
8195,local,remote
8196,remote,remote
8197,remote,remote
8199,local,remote
8204,fiber,local
8213,local,local
8215,remote,local
8219,remote,local
8227,local,local
8231,local,local
8233,fiber,local
8234,remote,remote
8237,remote,local
824,fiber,remote
8242,fiber,local
8243,local,local
8249,remote,local
8253,fiber,remote
8261,remote,local
8262,local,remote
8263,remote,local
8269,local,local
8273,remote,local
8277,local,local
8278,local,remote
8285,local,remote
8293,remote,remote
8298,local,local
8299,fiber,local
8301,fiber,remote
8312,local,remote
8316,local,local
8317,local,remote
8319,local,local
8322,local,remote
8324,remote,remote
8331,local,local
8342,fiber,local
8349,fiber,remote
8352,local,remote
8355,local,local
8373,fiber,local
8385,fiber,local
8404,local,local
8405,local,local
8417,local,remote
8428,fiber,remote
8438,fiber,remote
8440,remote,local
8441,remote,remote
8442,remote,remote
8443,remote,local
8446,fiber,remote
8452,fiber,remote
8457,local,remote
8478,local,local
8489,local,remote
849,fiber,remote
8490,fiber,local
8492,remote,local
8496,fiber,remote
8497,fiber,remote
850,local,remote
8506,local,local
8519,remote,remote
853,fiber,remote
8531,remote,local
8535,fiber,local
855,fiber,local
856,local,local
8561,remote,local
8562,local,local
8563,fiber,local
8567,local,remote
8575,local,local
8581,fiber,remote
8587,local,local
8596,fiber,remote
8607,local,local
8611,local,local
8639,local,local
8640,remote,local
8658,local,local
866,local,fiber
8674,local,local
8685,remote,local
8699,remote,local
87,local,remote
8702,local,remote
8703,local,remote
8735,fiber,remote
8738,fiber,local
874,local,local
8752,fiber,remote
8754,local,remote
8762,local,remote
878,fiber,fiber
8781,fiber,local
8782,local,remote
8793,local,remote
8794,local,local
8795,local,local
8797,remote,remote
88,fiber,local
8833,fiber,local
8841,local,remote
8867,fiber,remote
8887,local,remote
8888,fiber,remote
8896,local,remote
8900,local,remote
8905,remote,local
8910,local,remote
8916,fiber,remote
8918,fiber,remote
8933,local,remote
8956,local,local
897,fiber,local
9012,local,local
9044,fiber,local
9051,remote,local
9073,fiber,local
9084,local,remote
9085,local,remote
9089,fiber,local
9091,remote,local
91,remote,local
9100,fiber,remote
9119,local,local
9134,local,remote
9154,remote,local
9164,fiber,local
9203,local,remote
9236,local,local
9254,remote,remote
9272,local,local
9273,remote,remote
9283,local,fiber
9294,local,local
9301,local,local
9316,fiber,local
9317,fiber,remote
9327,remote,local
9334,fiber,remote
9358,fiber,remote
9369,remote,remote
937,local,remote
9370,fiber,remote
9371,fiber,local
9375,fiber,local
9383,fiber,remote
9385,local,local
9388,fiber,local
9397,local,local
9398,local,local
9399,remote,local
940,remote,local
9408,local,remote
9409,fiber,remote
9424,local,local
9434,fiber,remote
9438,local,remote
9446,fiber,local
9483,fiber,local
9521,remote,local
9527,remote,local
9541,remote,local
9544,fiber,local
9593,remote,remote
9596,fiber,local
9597,local,local
96,remote,remote
9600,fiber,local
9612,fiber,local
9697,local,remote
970,remote,remote
972,local,local
9741,remote,remote
9742,fiber,remote
9781,remote,remote
9783,local,remote
9797,local,local
9815,remote,local
9824,local,remote
9835,remote,local
9836,fiber,local
9839,remote,local
9843,fiber,remote
9864,local,remote
9869,fiber,local
9870,local,local
9887,local,remote
9888,local,local
989,fiber,remote
9896,remote,local
99,local,local
9935,local,local
9950,remote,remote
9951,remote,remote
9958,remote,local
996,local,remote
9972,local,local
9982,local,local
alarm_01,fiber,remote
alarm_02,fiber,remote
alarm_03,remote,local
alarm_04,fiber,remote
alarm_05,fiber,local
alarm_06,fiber,local
alarm_07,fiber,remote
alarm_10,fiber,local
alarm_11,remote,local
alarm_12,remote,fiber
alarm_13,fiber,remote
alarm_14,fiber,remote
alarm_16,local,local
alarm_17,remote,remote
alarm_19,local,remote
alarm_21,remote,fiber
alarm_23,fiber,local
alarm_24,fiber,fiber
alarm_28,fiber,local
alarm_29,fiber,fiber
alarm_30,fiber,remote
alarm_31,remote,fiber
alarm_32,fiber,remote
alarm_33,fiber,remote
alarm_35,fiber,remote
alarm_36,local,local
alarm_37,fiber,remote
alarm_38,fiber,remote
alarm_39,fiber,remote
alarm_40,fiber,remote
alarm_41,fiber,remote
alarm_42,fiber,remote
alarm_43,fiber,local
alarm_45,fiber,fiber
alarm_46,fiber,remote
alarm_47,local,remote
alarm_48,fiber,remote
alarm_49,local,remote
alarm_50,fiber,local
alarm_51,fiber,local
alarm_54,fiber,local
alarm_55,fiber,local
alarm_56,local,local
alarm_58,fiber,remote
alarm_60,remote,local
alarm_61,local,remote
alarm_62,local,remote
alarm_63,fiber,local
alarm_64,fiber,local
alarm_65,fiber,remote
alarm_66,fiber,remote
alarm_78,fiber,remote
alarm_79,remote,local
alarm_80,fiber,local
alarm_82,local,local
alarm_83,fiber,local
